delivery_time_days,review_score,total_order_value
8.0,4.0,38.71
8.0,4.0,38.71
8.0,4.0,38.71
13.0,4.0,141.46
9.0,5.0,179.12
13.0,5.0,72.2
2.0,5.0,28.619999999999997
16.0,4.0,175.26
9.0,5.0,75.16
9.0,1.0,35.95
18.0,5.0,169.76000000000002
18.0,5.0,169.76000000000002
12.0,1.0,129.53
12.0,1.0,129.53
5.0,4.0,114.13
12.0,5.0,50.129999999999995
4.0,5.0,32.7
11.0,4.0,54.36
13.0,5.0,146.45000000000002
12.0,5.0,43.09
6.0,5.0,29.75
13.0,4.0,92.97
13.0,4.0,92.97
13.0,4.0,92.97
21.0,2.0,118.86
4.0,5.0,88.89999999999999
4.0,3.0,17.28
18.0,4.0,187.57
4.0,5.0,104.11
28.0,2.0,125.43
12.0,1.0,139.54000000000002
12.0,1.0,88.14
9.0,5.0,60.69
14.0,4.0,192.68
30.0,4.0,63.34
8.0,2.0,313.19
18.0,1.0,224.9
22.0,4.0,63.1
18.0,5.0,100.25
1.0,5.0,188.41
30.0,5.0,106.95
20.0,4.0,66.78999999999999
7.0,5.0,43.0
17.0,5.0,508.17
10.0,3.0,49.69
11.0,5.0,154.19
33.0,1.0,356.12
7.0,5.0,95.67
9.0,4.0,121.62
10.0,1.0,153.72
10.0,4.0,54.82
3.0,5.0,82.33000000000001
4.0,5.0,52.239999999999995
6.0,5.0,130.56
12.0,5.0,52.84
7.0,5.0,71.91
5.0,1.0,75.52
5.0,1.0,75.52
19.0,4.0,386.33
4.0,5.0,50.25
7.0,5.0,128.68
3.0,5.0,43.46
24.0,1.0,45.84
24.0,1.0,45.84
23.0,1.0,99.26
5.0,5.0,141.15
4.0,4.0,91.66
5.0,5.0,53.66
7.0,5.0,317.34
18.0,4.0,43.0
2.0,4.0,143.97
2.0,4.0,202.12
9.0,3.0,412.38
9.0,3.0,412.38
10.0,4.0,39.99
4.0,5.0,98.15
4.0,5.0,98.15
4.0,5.0,98.15
4.0,5.0,98.15
5.0,5.0,55.02
9.0,3.0,46.2
3.0,5.0,59.34
6.0,5.0,209.41
9.0,4.0,57.0
17.0,5.0,84.56
19.0,1.0,53.56
19.0,1.0,53.56
19.0,1.0,53.56
19.0,1.0,53.56
19.0,1.0,53.56
10.0,5.0,72.83
10.0,5.0,72.83
9.0,5.0,37.83
6.0,1.0,234.28
6.0,1.0,234.28
2.0,4.0,100.91
2.0,4.0,100.91
2.0,3.0,27.77
18.0,5.0,59.1
4.0,5.0,66.98
8.0,3.0,132.26
20.0,4.0,63.34
23.0,2.0,231.12
11.0,5.0,574.36
13.0,5.0,29.92
17.0,4.0,409.79
10.0,5.0,62.69
24.0,5.0,105.56
3.0,4.0,37.379999999999995
20.0,5.0,76.65
16.0,1.0,120.84
19.0,4.0,238.69
7.0,5.0,772.08
13.0,5.0,103.27
4.0,5.0,23.69
36.0,1.0,101.74
10.0,5.0,28.86
10.0,5.0,28.86
13.0,5.0,117.77
2.0,5.0,172.14
6.0,5.0,42.59
3.0,5.0,21.38
7.0,4.0,554.4
9.0,4.0,96.01
12.0,4.0,609.9
12.0,5.0,42.4
11.0,2.0,253.4
3.0,1.0,28.619999999999997
56.0,1.0,40.09
1.0,5.0,26.44
5.0,5.0,66.44
5.0,5.0,66.44
6.0,5.0,111.89
12.0,4.0,231.79
54.0,3.0,135.51
1.0,5.0,38.099999999999994
1.0,5.0,74.03
15.0,1.0,58.0
7.0,5.0,66.02
21.0,4.0,26.6
21.0,4.0,26.6
6.0,3.0,188.31
6.0,3.0,148.04
6.0,3.0,182.04
11.0,4.0,78.15
5.0,5.0,84.57
27.0,1.0,155.0
6.0,4.0,71.08
6.0,4.0,71.08
1.0,1.0,141.9
5.0,4.0,113.62
7.0,5.0,161.77
5.0,5.0,47.760000000000005
5.0,5.0,47.760000000000005
11.0,5.0,68.59
9.0,1.0,106.38
3.0,5.0,141.67000000000002
6.0,5.0,89.88000000000001
8.0,5.0,93.6
8.0,5.0,93.6
8.0,5.0,118.35
2.0,5.0,98.74
2.0,5.0,105.49
2.0,5.0,105.49
7.0,5.0,38.47
7.0,5.0,312.90999999999997
8.0,5.0,51.79
6.0,1.0,109.29
6.0,1.0,122.85
8.0,2.0,22.79
28.0,1.0,67.5
14.0,5.0,156.67
15.0,5.0,53.83
10.0,5.0,299.72
4.0,5.0,52.39
4.0,5.0,52.39
4.0,5.0,52.39
4.0,5.0,52.39
4.0,5.0,52.39
4.0,5.0,52.39
5.0,5.0,97.88
15.0,5.0,75.18
17.0,5.0,75.65
17.0,5.0,85.65
9.0,5.0,117.45
23.0,5.0,170.43
11.0,3.0,141.06
7.0,5.0,134.58
8.0,5.0,59.85
3.0,4.0,68.63
3.0,5.0,86.05
14.0,4.0,64.74
15.0,5.0,217.78
14.0,4.0,67.5
18.0,5.0,215.14
18.0,5.0,215.14
18.0,5.0,215.14
4.0,5.0,53.34
4.0,5.0,73.33
5.0,5.0,285.59000000000003
20.0,4.0,145.5
6.0,5.0,43.29
8.0,5.0,38.41
19.0,5.0,402.49
10.0,5.0,110.89
8.0,1.0,204.45
2.0,5.0,109.35
5.0,3.0,74.74
5.0,2.0,56.86
10.0,5.0,97.81
12.0,5.0,133.25
13.0,5.0,180.95
21.0,4.0,445.32
5.0,5.0,52.510000000000005
8.0,5.0,124.16
2.0,5.0,65.47
19.0,4.0,98.16
20.0,5.0,40.78
7.0,5.0,273.27000000000004
10.0,5.0,106.73
10.0,3.0,187.19
11.0,5.0,194.91
11.0,5.0,194.91
10.0,5.0,393.46
12.0,4.0,61.11
12.0,4.0,61.11
10.0,2.0,698.85
9.0,5.0,99.33
4.0,4.0,58.28
8.0,4.0,77.03
8.0,3.0,49.73
7.0,2.0,69.9
7.0,2.0,69.9
22.0,4.0,86.36000000000001
11.0,3.0,185.95
11.0,3.0,237.72000000000003
3.0,5.0,108.01
4.0,5.0,35.36
6.0,5.0,305.7
26.0,3.0,216.26
6.0,5.0,83.05000000000001
7.0,5.0,121.68
8.0,5.0,57.68
18.0,4.0,92.97
7.0,5.0,35.239999999999995
7.0,3.0,286.53999999999996
11.0,5.0,78.09
11.0,5.0,78.09
10.0,5.0,301.19
1.0,5.0,140.88
5.0,4.0,41.69
13.0,4.0,20.75
20.0,5.0,165.4
15.0,5.0,102.56
10.0,1.0,84.63999999999999
7.0,5.0,446.51
16.0,5.0,217.78
12.0,4.0,138.09
12.0,5.0,50.68
14.0,5.0,170.10000000000002
11.0,5.0,89.88000000000001
8.0,4.0,103.55
15.0,5.0,160.14
9.0,5.0,46.0
8.0,3.0,63.46
6.0,5.0,145.0
16.0,5.0,136.4
10.0,4.0,34.24
6.0,5.0,146.44
12.0,1.0,128.97
12.0,1.0,128.97
9.0,5.0,80.10000000000001
13.0,5.0,74.16
6.0,5.0,338.0
10.0,4.0,183.65
12.0,5.0,18.62
24.0,5.0,376.97
24.0,5.0,376.97
10.0,3.0,64.09
7.0,4.0,59.47
13.0,4.0,91.18
10.0,5.0,83.33
12.0,4.0,28.46
13.0,5.0,53.3
1.0,5.0,76.28999999999999
9.0,4.0,403.32
8.0,5.0,95.21
6.0,5.0,51.75
6.0,5.0,51.75
6.0,5.0,211.89
6.0,2.0,111.4
19.0,5.0,143.32
19.0,5.0,143.32
16.0,5.0,45.95
16.0,5.0,45.95
81.0,1.0,223.26
81.0,1.0,223.26
9.0,5.0,124.7
10.0,3.0,41.69
6.0,5.0,216.93
6.0,5.0,120.87
6.0,5.0,120.87
7.0,5.0,136.37
12.0,4.0,30.96
